48, 122, 347, 382, 412, 421, 465, 468, 606, 690, 739, 742, 747, 790, 833, 836, 837, 914, 924, 1150, 1298, 1305, 1346, 1409, 1534, 1612, 
1635, 1640, 1676, 1858, 2037, 2046, 2096, 2276, 2305, 2331, 2343, 2519, 2611, 2884, 2912, 3216, 3374, 3434, 3447, 3453, 3651, 3683, 3812, 3952, 3987, 
4048, 4053, 4201, 4241, 4323, 4412, 4463, 4654, 4691, 4711, 4729, 4750, 4768, 4807, 4824, 4850, 4873, 4937, 4988, 5219, 5292, 5413, 5414, 5433, 5488, 
5511, 5549, 5598, 5634, 5648, 5715, 5751, 5755, 5938, 6018, 6025, 6037, 6191, 6281, 6329, 6397, 6410, 6456, 6579, 6689, 6694, 6744, 6756, 6785, 6794, 
6795, 6877, 6881, 7020, 7208, 7361, 7409, 7527, 7547, 7598, 7615, 7773, 7849, 8061, 8201, 8250, 8257, 8295, 8358, 8562, 8584, 8720, 8732, 8740, 8800, 
8837, 8934, 9043, 9075, 9101, 9148, 9148, 9150, 9197, 9301, 9306, 9354, 9412, 9437, 9529, 9538, 9600, 9635, 9710, 9736, 9747, 9786, 9797, 9816, 9833, 
10016, 10042, 10064, 10117, 10136, 10142, 10274, 10383, 10468, 10533, 10601, 10731, 10746, 10792, 10830, 10881, 11024, 11059, 11223, 11363, 11433, 11456, 11625, 11673, 11709, 
11732, 11793, 11813, 11865, 11895, 11902, 11980, 12001, 12050, 12102, 12135, 12401, 12425, 12436, 12473, 12516, 12550, 12693, 12727, 12797, 12812, 12896, 12902, 12992, 13013, 
13037, 13074, 13161, 13194, 13280, 13384, 13391, 13542, 13559, 13582, 13701, 13734, 13779, 13801, 13870, 13959, 14009, 14123, 14210, 14242, 14272, 14278, 14560, 14586, 14691, 
14696, 14707, 14725, 14735, 14804, 14959, 14968, 15075, 15111, 15120, 15147, 15222, 15325, 15334, 15422, 15435, 15453, 15535, 15672, 15728, 15746, 15944, 16055, 16060, 16171, 
16184, 16261, 16580, 16583, 16659, 16802, 16806, 16954, 16963, 16969, 17117, 17135, 17201, 17268, 17277, 17301, 17350, 17560, 17591, 17761, 17941, 18051, 18064, 18112, 18187, 
18247, 18483, 18492, 18525, 18530, 18536, 18641, 18719, 18734, 18853, 18994, 19054, 19062, 19072, 19208, 19324, 19363, 19413, 19417, 19764, 19901, 19953, 20103, 20135, 20221, 
20304, 20307, 20350, 20393, 20488, 20792, 20851, 20911, 20925, 21029, 21118, 21147, 21242, 21250, 21284, 21304, 21331, 21334, 21462, 21609, 21623, 21699, 21701, 21730, 21760, 
21918, 22043, 22070, 22161, 22178, 22198, 22317, 22330, 22564, 22731, 22822, 22912, 23110, 23251, 23277, 23410, 23460, 23522, 23542, 23542, 23595, 23655, 23662, 23687, 23695, 
23788, 23895, 23905, 23908, 23910, 23947, 23975, 24113, 24239, 24273, 24348, 24458, 24469, 24474, 24519, 24695, 24834, 25060, 25074, 25133, 25237, 25242, 25320, 25322, 25360, 
25374, 25406, 25412, 25427, 25446, 25457, 25496, 25513, 25514, 25607, 25767, 25871, 25897, 25909, 25959, 25968, 26050, 26094, 26095, 26170, 26230, 26265, 26360, 26380, 26456, 
26532, 26560, 26577, 26578, 26784, 26808, 26907, 27088, 27128, 27229, 27240, 27293, 27406, 27417, 27515, 27627, 27783, 27827, 27900, 27906, 28223, 28250, 28289, 28303, 28311, 
28474, 28511, 28532, 28604, 28757, 28778, 28821, 28909, 28964, 28972, 28992, 29003, 29085, 29125, 29134, 29162, 29177, 29200, 29425, 29460, 29530, 29542, 29554, 29615, 29775, 
29832, 29844, 29924, 29952, 30080, 30121, 30289, 30296, 30338, 30402, 30415, 30448, 30539, 30626, 30645, 30726, 30735, 30750, 30776, 30802, 31014, 31015, 31030, 31128, 31196, 
31342, 31545, 31632, 31639, 31718, 31720, 31773, 31865, 31894, 31909, 32047, 32165, 32247, 32261, 32275, 32283, 32310, 32313, 32334, 32446, 32457, 32509, 32527, 32642
